APT;Additional;Annotator;Difficulty;FailureReasons;FormatCorrect;Group;Index;Kind;Original;Paraphrase;annotation_id;annotator.1;created_at;id;lead_time;type;updated_at
AdditionDeletion;Morpho- and Lexicon-based Changes;3;Easy;;Yes;;20;0;Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.;Revenue in the first quarter of the year dropped by 15 percent from the same period a year earlier.;438;18;26.01.2024 19:06;112;300211;"[{""start"":49,""end"":51,""text"":""by"",""labels"":[""APT""]}]";26.01.2024 19:06
AdditionDeletion;;4;Easy;;Yes;;21;3;Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.;Revenue in the first quarter of the year, which ended March 30, dropped 15 percent from the same period a year earlier.;267;15;24.01.2024 11:51;113;75452;"[{""start"":40,""end"":63,""text"":"", which ended March 30,"",""labels"":[""APT""]}]";24.01.2024 12:05
Syntheticanalytic substitution;;6;Easy;otherchange;No;Structure-based Changes;12014;1;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.; But today tropical storm warnings and watches were posted for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;108;10;23.01.2024 13:27;636;203666;;23.01.2024 13:27
AdditionDeletion;;6;Easy;;Yes;;23;4;Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.;Revenue in the first quarter of the year only dropped 15 percent from the same period a year earlier.;74;8;23.01.2024 11:42;115;3934;"[{""start"":41,""end"":45,""text"":""only"",""labels"":[""APT""]}]";23.01.2024 11:42
AdditionDeletion;;7;Easy;;Yes;;24;1;Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.; Revenue in the first quarter of the year dropped by 15 percent from the same period a year earlier.;396;17;24.01.2024 20:05;116;8,03901E+15;"[{""start"":50,""end"":52,""text"":""by"",""labels"":[""APT""]}]";25.01.2024 14:41
AdditionDeletion;;4;Easy;otherchange;Yes;Structure-based Changes;30;0;The DVD-CCA then appealed to the state Supreme Court.;The DVD-CCA then appealed to the Supreme Court of the state.;268;15;24.01.2024 11:55;117;127881;;24.01.2024 12:05
AdditionDeletion;;5;Hard;Nonsense;Yes;;31;3;The DVD-CCA then appealed to the state Supreme Court.;The case fueled several other lawsuits that claimed the secrets in various ways, and the DVD-CCA then appealed.;178;13;23.01.2024 17:17;118;92479;;23.01.2024 17:22
Spelling changes;;1;Easy;;No;;10014;1;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.; But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turks and Caicos islands.;296;9;24.01.2024 12:29;518;110877;"[{""start"":147,""end"":152,""text"":""Turks"",""labels"":[""APT""]}]";24.01.2024 13:00
AdditionDeletion;;7;Easy;;Yes;;33;4;The DVD-CCA then appealed to the state Supreme Court.;The DVD-CCA then apparently appealed to the state Supreme Court.;409;17;25.01.2024 14:19;120;275239;"[{""start"":17,""end"":27,""text"":""apparently"",""labels"":[""APT""]}]";25.01.2024 14:41
Punctuation changes;;9;Easy;;No;;7094;1;Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.; Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.;611;21;30.01.2024 12:45;389;43113;"[{""start"":148,""end"":153,""text"":""come."",""labels"":[""APT""]}]";30.01.2024 12:45
AdditionDeletion;;5;Easy;Identical sentences;Yes;;40;0;He said the foodservice pie business doesn't fit the company's long-term growth strategy.; He said the foodservice pie business doesn't fit the company's long-term growth strategy.;179;13;23.01.2024 17:18;122;3,1347E+16;;23.01.2024 17:22
AdditionDeletion;;6;Easy;Nonsense;Yes;;41;3;He said the foodservice pie business doesn't fit the company's long-term growth strategy.;He said the foodservice pie business doesn't fit the company's long-term growth strategy, but had limited growth potential.;76;8;23.01.2024 11:53;123;562916;;23.01.2024 12:15
AdditionDeletion;;7;Easy;;Yes;;42;2;He said the foodservice pie business doesn't fit the company's long-term growth strategy.;He said that the foodservice pie business doesn't fit into the company's long-term growth strategy.;397;17;24.01.2024 20:08;124;44329;"[{""start"":8,""end"":12,""text"":""that"",""labels"":[""APT""]}]";25.01.2024 14:42
Inflectional Changes;;3;Easy;Identical sentences;No;;5084;1;Elena Slough, considered to be the nation's oldest person and the third oldest person in the world, died early Sunday morning.; Elena Slough, considered to be the nation's oldest person and the third oldest person in the world, died early Sunday morning.;447;18;26.01.2024 19:31;315;5055;;26.01.2024 19:31
Spelling changes;;9;Easy;;No;;10094;1;For example, Anhalt said, children typically treat a 20-ounce soda bottle as one serving, although it actually contains 2 ½ 8-ounce servings.; For example, Anhalt said, children typically treat a 20 ounce soda bottle as one serving, although it actually contains 2 ½ 8 ounce servings.;621;21;30.01.2024 12:56;558;34564;"[{""start"":54,""end"":62,""text"":""20 ounce"",""labels"":[""APT""]}]";30.01.2024 12:56
AdditionDeletion;;6;Easy;otherchange;Yes;;50;0;But he added group performance would improve in the second half of the year and beyond.;But he added group performance would continue to improve in the second half of the year and beyond.;77;8;23.01.2024 11:56;127;158448;"[{""start"":37,""end"":48,""text"":""continue to"",""labels"":[""APT""]}]";23.01.2024 11:56
AdditionDeletion;;7;Easy;;Yes;;51;3;But he added group performance would improve in the second half of the year and beyond.;But he added group performance would improve in the second half of the year and beyond on the back of strong licensing growth.;410;17;25.01.2024 14:22;128;3,5956E+16;"[{""start"":87,""end"":126,""text"":""on the back of strong licensing growth."",""labels"":[""APT""]}]";29.01.2024 14:05
Derivational Changes;;9;Easy;Identical sentences;No;;3044;1;From California, Bush flies to Japan on Thursday, followed by visits to the Philippines, Thailand, Singapore, Indonesia and Australia before returning home on Oct. 24.; From California, Bush flies to Japan on Thursday, followed by visits to the Philippines, Thailand, Singapore, Indonesia and Australia before returning home on Oct. 24.;601;21;30.01.2024 12:35;245;5108;;30.01.2024 12:35
AdditionDeletion;;9;Easy;;No;;44;1;He said the foodservice pie business doesn't fit the company's long-term growth strategy.; He said the foodservice pie business doesn't fit the company's overall long-term growth strategy.;594;21;30.01.2024 12:23;126;72017;"[{""start"":64,""end"":71,""text"":""overall"",""labels"":[""APT""]}]";30.01.2024 12:23
AdditionDeletion;;10;Easy;;Yes;;54;1;But he added group performance would improve in the second half of the year and beyond.; But he added that group performance would improve in the second half of the year and beyond.;129;11;23.01.2024 16:19;131;308778;"[{""start"":14,""end"":18,""text"":""that"",""labels"":[""APT""]}]";23.01.2024 16:19
AdditionDeletion;;7;Easy;Identical sentences;Yes;;60;0;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;398;17;24.01.2024 20:11;132;57581;;25.01.2024 14:43
AdditionDeletion;;8;Easy;Identical sentences;Yes;;61;3;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;557;20;30.01.2024 10:44;133;73149;;30.01.2024 10:44
AdditionDeletion;;11;Easy;;No;;64;1;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.; He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in their mind when they decided to ask for asylum.;477;10;27.01.2024 15:02;136;9569;;27.01.2024 15:02
AdditionDeletion;;10;Easy;;Yes;;63;4;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters decided to ask for asylum.;130;11;23.01.2024 16:21;135;132229;"[{""start"":45,""end"":62,""text"":""daughters decided"",""labels"":[""APT""]}]";23.01.2024 16:21
Derivational Changes;;9;Easy;;No;;3080;0;"However, the standards body warns that changes to Internet Explorer may affect a ""large number"" of existing Web sites.";" However, the standards body warns that changes to Internet Explorer may have an impact on a ""large number"" of existing Web sites.";605;21;30.01.2024 12:39;261;27497;"[{""start"":73,""end"":90,""text"":""have an impact on"",""labels"":[""APT""]}]";30.01.2024 12:39
AdditionDeletion;;8;Easy;Identical sentences;Yes;;70;0;"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";558;20;30.01.2024 10:45;137;397;;30.01.2024 10:45
Semantic based;Structure-based Changes;9;Hard;;No;;9044;1;Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted.; Instead of falling as many industry experts had predicted, sales - a figure closely monitored as an indicator of its health - increased by 5 percent.;616;21;30.01.2024 12:51;483;70537;"[{""start"":77,""end"":110,""text"":""closely monitored as an indicator"",""labels"":[""APT""]}]";30.01.2024 12:51
Semantic based;;9;Easy;;No;Morpho- and Lexicon-based Changes;9080;0;Michael Mitchell, the chief public defender in Baton Rouge who is representing Lee, did not answer his phone Wednesday afternoon.; Michael Mitchell, the chief public defender in Baton Rouge who is representing Lee, did not respond to his phone call Wednesday afternoon.;620;21;30.01.2024 12:55;499;6088;"[{""start"":93,""end"":118,""text"":""respond to his phone call"",""labels"":[""APT""]}]";30.01.2024 12:55
Syntheticanalytic substitution;;1;Hard;Other;;;12000;0;Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.; Revenue in the first quarter of the year dropped by 15 percent from the same period a year earlier.;323;9;24.01.2024 12:43;627;176629;;24.01.2024 13:02
AdditionDeletion;;12;Easy;;Yes;;74;1;"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";" Sheena Young of Child, the national infertility support network, only hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";516;19;29.01.2024 20:15;141;188918;"[{""start"":66,""end"":70,""text"":""only"",""labels"":[""APT""]}]";29.01.2024 20:15
AdditionDeletion;;8;Easy;Identical sentences;No;;34;1;The DVD-CCA then appealed to the state Supreme Court.; The DVD-CCA then appealed to the state Supreme Court.;554;20;30.01.2024 10:38;121;105755;;30.01.2024 10:38
AdditionDeletion;;10;Easy;;Yes;;81;3;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location for the first time, providing one-click access to all.;132;11;23.01.2024 16:33;143;65573;"[{""start"":109,""end"":127,""text"":""for the first time"",""labels"":[""APT""]},{""start"":156,""end"":162,""text"":""to all"",""labels"":[""APT""]}]";23.01.2024 16:33
AdditionDeletion;;11;Easy;;Yes;;82;2;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk, removable media and cloud storage in one location, providing one-click access.;479;10;27.01.2024 15:06;144;57088;;27.01.2024 15:06
AdditionDeletion;;12;Easy;;Yes;;83;4;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk, removable media, and cloud storage in one location, providing one-click access.;517;19;29.01.2024 20:17;145;163242;;29.01.2024 20:17
AdditionDeletion;;13;Easy;otherchange;Yes;Structure-based Changes;84;1;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.; The new Finder puts a user's folders, hard drive, network servers, iDisk, and removable media in one location, providing one-click access.;135;12;23.01.2024 16:38;146;612972;;23.01.2024 16:38
AdditionDeletion;;10;Easy;;Yes;;90;0;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;Tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas, and the Turk and Caicos islands.;133;11;23.01.2024 16:34;147;73606;"[{""start"":0,""end"":8,""text"":""Tropical"",""labels"":[""APT""]}]";23.01.2024 16:34
AdditionDeletion;;11;Easy;Other;Yes;;91;3;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;Tropical storm warnings and watches were posted for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;480;10;27.01.2024 15:09;148;239356;;27.01.2024 15:10
AdditionDeletion;Structure-based Changes;12;Easy;;Yes;;92;2;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas, and the Turk and Caicos islands, as well.;518;19;29.01.2024 20:20;149;125023;"[{""start"":172,""end"":180,""text"":""as well."",""labels"":[""APT""]}]";29.01.2024 20:20
AdditionDeletion;;13;Easy;;Yes;;93;4;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;But currently tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas, and the Turk and Caicos islands.;138;12;23.01.2024 16:42;150;175945;"[{""start"":4,""end"":13,""text"":""currently"",""labels"":[""APT""]}]";23.01.2024 16:42
AdditionDeletion;;14;Easy;;Yes;;94;1;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.; Tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;360;16;24.01.2024 15:27;151;140242;;24.01.2024 15:27
Change of order;Structure-based Changes;11;Hard;;Yes;;1000;0;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;Adding that they had published an advertisement on the Internet on June 10, he added that they were offering the cargo for sale.;481;10;27.01.2024 15:14;152;244859;;27.01.2024 15:14
Change of order;Semantic-based Changes;12;Hard;;Yes;;1001;3;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;"They had published an advertisement selling the cargo on the internet on June 10,"" he added.";519;19;29.01.2024 20:24;153;244088;"[{""start"":36,""end"":53,""text"":""selling the cargo"",""labels"":[""APT""]}]";29.01.2024 20:24
Spelling changes;;6;Easy;Identical sentences;No;;10064;1;The first biotechnology treatment for asthma, the constriction of the airways that affects millions around the world, received approval from the US Food and Drug Administration yesterday.; The first biotechnology treatment for asthma, the constriction of the airways that affects millions around the world, received approval from the US Food and Drug Administration yesterday.;103;10;23.01.2024 13:12;543;137537;;23.01.2024 13:12
Change of order;;14;Easy;otherchange;Yes;;1003;4;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;He added that they had published an advertisement on June 10, offering the cargo for sale on the Internet.;361;16;24.01.2024 15:37;155;114809;"[{""start"":0,""end"":13,""text"":""He added that"",""labels"":[""APT""]}]";24.01.2024 15:43
Change of order;Morpho- and Lexicon-based Changes;15;Easy;;Yes;;1004;1;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.; They had added that they published an advertisement on the Internet on June 10, offering the cargo for sale.;70;2;23.01.2024 11:15;156;85351;"[{""start"":1,""end"":15,""text"":""They had added"",""labels"":[""APT""]}]";23.01.2024 11:15
Change of order;Semantic-based Changes;12;Hard;;Yes;;1010;0;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;On the New York Stock Exchange, the stock closed Friday at $21.51, rising $2.11 or about 11 percent.;520;19;29.01.2024 20:26;157;157846;"[{""start"":0,""end"":31,""text"":""On the New York Stock Exchange,"",""labels"":[""APT""]}]";29.01.2024 20:26
Change of order;"{""choices"":[""Semantic-based Changes"",""Others""]}";13;Hard;;Yes;;1011;3;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock, traded on the New York Stock Exchange, closed up $2.11 at $21.51 a share.;143;12;23.01.2024 16:50;158;212692;"[{""start"":11,""end"":49,""text"":""traded on the New York Stock Exchange,"",""labels"":[""APT""]}]";23.01.2024 16:50
Syntheticanalytic substitution;;9;Hard;otherchange;No;Structure-based Changes;12044;1;The group will be headed by State Department official John S. Wolf, who has served in Australia, Vietnam, Greece and Pakistan.; The group will be headed by John S. Wolf, who has served in Australia, Vietnam, Greece and Pakistan, State Department official.;628;21;30.01.2024 13:03;651;78338;;30.01.2024 13:03
Change of order;;15;Hard;;Yes;;1013;4;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock closed Friday at $21.51 on the New York Stock Exchange, rising $2.11 or about 11 percent.;71;2;23.01.2024 11:16;160;84239;"[{""start"":10,""end"":33,""text"":""closed Friday at $21.51"",""labels"":[""APT""]}]";23.01.2024 11:16
Change of order;;1;Hard;otherchange;Yes;"{""choices"":[""Morpho- and Lexicon-based Changes"",""Structure-based Changes""]}";1014;1;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.; The stock, rising $2.11, or about 11 percent, closed Friday at $21.51 on the New York Stock Exchange.;55;9;22.01.2024 16:02;161;162412;;24.01.2024 12:58
Change of order;"{""choices"":[""Structure-based Changes"",""Others""]}";13;Easy;;Yes;;1020;0;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;When they decided to ask for asylum, Mr. Hussein's daughters had British schools and hospitals in mind, he told The Sun newspaper.;151;12;23.01.2024 16:57;162;395673;"[{""start"":0,""end"":36,""text"":""When they decided to ask for asylum,"",""labels"":[""APT""]},{""start"":104,""end"":130,""text"":""he told The Sun newspaper."",""labels"":[""APT""]}]";23.01.2024 16:57
Change of order;;14;Easy;otherchange;Yes;Semantic-based Changes;1021;3;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;The Sun newspaper, quoting a shadowy figure it said was a former member of Mr. Hussein's regime, said Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;363;16;24.01.2024 15:46;163;113998;;24.01.2024 15:46
Change of order;;15;Easy;"{""choices"":[""otherchange"",""Other""]}";Yes;Structure-based Changes;1022;2;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;The Sun newspaper told him that Mr. Hussein's daughters, when they decided to ask for asylum, had British schools and hospitals in mind.;72;2;23.01.2024 11:19;164;12048;;23.01.2024 11:19
Change of order;Structure-based Changes;1;Easy;;Yes;;1023;4;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;That Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum, he told The Sun newspaper.;56;9;22.01.2024 16:04;165;5,44148E+15;"[{""start"":108,""end"":134,""text"":""he told The Sun newspaper."",""labels"":[""APT""]}]";24.01.2024 12:58
Change of order;;2;Easy;;Yes;;1024;1;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.; Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum, he told The Sun newspaper.;245;14;24.01.2024 10:49;166;152626;"[{""start"":104,""end"":130,""text"":""he told The Sun newspaper."",""labels"":[""APT""]}]";24.01.2024 10:49
Change of order;;14;Easy;Nonsense;Yes;;1030;0;He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.;Plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel, he.;364;16;24.01.2024 15:47;167;28805;;24.01.2024 15:47
Change of order;;15;Easy;;Yes;;1031;3;He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.;He plans to have dinner with troops at Camp Bondsteel, Kosovo's U.S. military headquarters.;111;2;23.01.2024 14:45;168;7439548;"[{""start"":39,""end"":54,""text"":""Camp Bondsteel,"",""labels"":[""APT""]}]";23.01.2024 14:45
Semantic based;"{""choices"":[""Morpho- and Lexicon-based Changes"",""Structure-based Changes""]}";6;Easy;;No;;9050;0;Those who only had surgery lived an average of 46 months.; Those who underwent surgery had a mean survival time of 46 months.;101;10;23.01.2024 13:08;484;49718;;23.01.2024 13:08
Change of order;;2;Easy;Nonsense;Yes;;1033;4;He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.;Plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel, he.;246;14;24.01.2024 10:51;170;72869;;24.01.2024 10:51
Change of order;Morpho- and Lexicon-based Changes;3;Easy;;Yes;;1034;1;He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.; Planning to have dinner with troops at Camp Bondsteel, Kosovo's U.S. military headquarters.;439;18;26.01.2024 19:08;171;1,51554E+16;"[{""start"":56,""end"":92,""text"":""Kosovo's U.S. military headquarters."",""labels"":[""APT""]}]";26.01.2024 19:17
Change of order;;15;Hard;;Yes;;1040;0;However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;PBL, however, downplayed the talk and said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;112;2;23.01.2024 14:46;172;57047;"[{""start"":0,""end"":4,""text"":""PBL,"",""labels"":[""APT""]}]";23.01.2024 14:46
Change of order;Structure-based Changes;1;Hard;;Yes;;1041;3;However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;However, PBL downplayed the talk and said it would focus only on smaller purchases that were immediately earnings and cash flow accretive..;58;9;22.01.2024 16:09;173;291366;"[{""start"":13,""end"":32,""text"":""downplayed the talk"",""labels"":[""APT""]}]";24.01.2024 12:59
Change of order;;2;Easy;;Yes;;1042;2;However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;The talk, however, was downplayed by PBL which said it would only focus on smaller purchases that were immediately earnings and cash flow accretive.;247;14;24.01.2024 10:54;174;203257;"[{""start"":0,""end"":18,""text"":""The talk, however,"",""labels"":[""APT""]},{""start"":61,""end"":71,""text"":""only focus"",""labels"":[""APT""]}]";24.01.2024 10:54
Change of order;Others;3;Easy;;Yes;;1043;4;However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;By PBL, the talk was downplayed which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;440;18;26.01.2024 19:12;175;241072;"[{""start"":0,""end"":31,""text"":""By PBL, the talk was downplayed"",""labels"":[""APT""]}]";26.01.2024 19:12
Change of order;"{""choices"":[""Morpho- and Lexicon-based Changes"",""Others""]}";4;Hard;;Yes;;1044;1;However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.; PBL downplayed the talk, saying it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;270;15;24.01.2024 12:02;176;250425;"[{""start"":1,""end"":32,""text"":""PBL downplayed the talk, saying"",""labels"":[""APT""]}]";24.01.2024 12:19
Change of order;Structure-based Changes;1;Easy;;Yes;;1050;0;The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance.;Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance, The Washington Post said.;59;9;22.01.2024 16:11;177;320156;"[{""start"":122,""end"":146,""text"":""The Washington Post said"",""labels"":[""APT""]}]";05.02.2024 10:38
Change of order;Semantic-based Changes;2;Hard;;Yes;;1051;3;The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance.;The specilaty airline manufacturer said it would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance, the Washington Post reported.;248;14;24.01.2024 10:57;178;168685;"[{""start"":0,""end"":39,""text"":""The specilaty airline manufacturer said"",""labels"":[""APT""]},{""start"":157,""end"":186,""text"":""the Washington Post reported."",""labels"":[""APT""]}]";24.01.2024 10:57
Semantic based;"{""choices"":[""Structure-based Changes"",""Others""]}";6;Hard;;No;;9014;1;Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.; Wal-Mart announced that it would verify the legal employment status of all its million-plus domestic workers.;97;10;23.01.2024 13:00;468;177075;;23.01.2024 13:00
Change of order;"{""choices"":[""Morpho- and Lexicon-based Changes"",""Structure-based Changes""]}";4;Hard;;Yes;;1053;4;The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance.;Monday, to accommodate the president's appearance, Airlite would shut down its first shift and parts of the second shift, as reported by The Washington Post.;273;15;24.01.2024 12:10;180;298017;;24.01.2024 12:10
