;annotator;apt;index;kind;paraphrase-text;original;paraphrase_fixed;paraphrase;applied-correctly;failure_identical;failure_otherchange;failure_nonsense;failure_other;correct_format;hard;add_morph;add_struct;add_semantic;add_others;mistaken_morph;mistaken_struct;mistaken_semantic;mistaken_others;start;end;marked_text;golden_example
10;3;AdditionDeletion;20;0;Revenue in the first quarter of the year dropped by 15 percent from the same period a year earlier.;Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.;Revenue in the first quarter of the year dropped by 15 percent from the same period a year earlier.;True;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;49.0;51.0;by;False
11;4;AdditionDeletion;21;3;Revenue in the first quarter of the year, which ended March 30, dropped 15 percent from the same period a year earlier.;Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.;Revenue in the first quarter of the year, which ended March 30, dropped 15 percent from the same period a year earlier.;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;40.0;63.0;, which ended March 30,;False
12;5;AdditionDeletion;22;2;"Revenue in the first quarter of the year dropped by 15 percent from the same period a year earlier. (Addition: ""by"")";Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.;Revenue in the first quarter of the year dropped by 15 percent from the same period a year earlier.;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;49.0;51.0;by;False
13;6;AdditionDeletion;23;4;Revenue in the first quarter of the year only dropped 15 percent from the same period a year earlier.;Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.;Revenue in the first quarter of the year only dropped 15 percent from the same period a year earlier.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;41.0;45.0;only;False
14;7;AdditionDeletion;24;1; Revenue in the first quarter of the year dropped by 15 percent from the same period a year earlier.;Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.; Revenue in the first quarter of the year dropped by 15 percent from the same period a year earlier.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;50.0;52.0;by;False
15;4;AdditionDeletion;30;0;The DVD-CCA then appealed to the Supreme Court of the state.;The DVD-CCA then appealed to the state Supreme Court.;The DVD-CCA then appealed to the Supreme Court of the state.;True;False;False;True;False;False;True;False;False;False;False;False;False;True;False;False;;;;False
16;5;AdditionDeletion;31;3;The case fueled several other lawsuits that claimed the secrets in various ways, and the DVD-CCA then appealed.;The DVD-CCA then appealed to the state Supreme Court.;The case fueled several other lawsuits that claimed the secrets in various ways, and the DVD-CCA then appealed.;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;;;;False
17;6;AdditionDeletion;32;2;The DVD-CCA then appealed to the state Supreme Court where the alteration of addition is applied.;The DVD-CCA then appealed to the state Supreme Court.;The DVD-CCA then appealed to the state Supreme Court where the alteration of addition is applied.;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False
18;7;AdditionDeletion;33;4;The DVD-CCA then apparently appealed to the state Supreme Court.;The DVD-CCA then appealed to the state Supreme Court.;The DVD-CCA then apparently appealed to the state Supreme Court.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;17.0;27.0;apparently;False
19;8;AdditionDeletion;34;1; The DVD-CCA then appealed to the state Supreme Court.;The DVD-CCA then appealed to the state Supreme Court.; The DVD-CCA then appealed to the state Supreme Court.;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False
20;5;AdditionDeletion;40;0; He said the foodservice pie business doesn't fit the company's long-term growth strategy.;He said the foodservice pie business doesn't fit the company's long-term growth strategy.; He said the foodservice pie business doesn't fit the company's long-term growth strategy.;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
21;6;AdditionDeletion;41;3;He said the foodservice pie business doesn't fit the company's long-term growth strategy, but had limited growth potential.;He said the foodservice pie business doesn't fit the company's long-term growth strategy.;He said the foodservice pie business doesn't fit the company's long-term growth strategy, but had limited growth potential.;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;;;;False
22;7;AdditionDeletion;42;2;He said that the foodservice pie business doesn't fit into the company's long-term growth strategy.;He said the foodservice pie business doesn't fit the company's long-term growth strategy.;He said that the foodservice pie business doesn't fit into the company's long-term growth strategy.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;8.0;12.0;that;False
23;8;AdditionDeletion;43;4;He said the foodservice pie business doesn't completely fit the company's long-term growth strategy.;He said the foodservice pie business doesn't fit the company's long-term growth strategy.;He said the foodservice pie business doesn't completely fit the company's long-term growth strategy.;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;45.0;55.0;completely;False
24;9;AdditionDeletion;44;1; He said the foodservice pie business doesn't fit the company's overall long-term growth strategy.;He said the foodservice pie business doesn't fit the company's long-term growth strategy.; He said the foodservice pie business doesn't fit the company's overall long-term growth strategy.;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;64.0;71.0;overall;False
25;6;AdditionDeletion;50;0;But he added group performance would continue to improve in the second half of the year and beyond.;But he added group performance would improve in the second half of the year and beyond.;But he added group performance would continue to improve in the second half of the year and beyond.;True;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;37.0;48.0;continue to;False
26;7;AdditionDeletion;51;3;But he added group performance would improve in the second half of the year and beyond on the back of strong licensing growth.;But he added group performance would improve in the second half of the year and beyond.;But he added group performance would improve in the second half of the year and beyond on the back of strong licensing growth.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;87.0;126.0;on the back of strong licensing growth.;False
27;8;AdditionDeletion;52;2;But he added that group performance would improve in the second half of the year and beyond. The alteration of addition is applied correctly in the sentence.;But he added group performance would improve in the second half of the year and beyond.;But he added that group performance would improve in the second half of the year and beyond. ;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;13.0;17.0;that;False
28;9;AdditionDeletion;53;4;But he added group performance would significantly improve in the second half of the year and beyond.;But he added group performance would improve in the second half of the year and beyond.;But he added group performance would significantly improve in the second half of the year and beyond.;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;37.0;50.0;significantly;False
29;10;AdditionDeletion;54;1; But he added that group performance would improve in the second half of the year and beyond.;But he added group performance would improve in the second half of the year and beyond.; But he added that group performance would improve in the second half of the year and beyond.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;14.0;18.0;that;False
30;7;AdditionDeletion;60;0;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
31;8;AdditionDeletion;61;3;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
32;9;AdditionDeletion;62;2;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum, according to his statement to The Sun newspaper.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum, according to his statement to The Sun newspaper.;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;134.0;182.0;according to his statement to The Sun newspaper.;False
33;10;AdditionDeletion;63;4;He told The Sun newspaper that Mr. Hussein's daughters decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters decided to ask for asylum.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;45.0;62.0;daughters decided;False
34;11;AdditionDeletion;64;1; He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in their mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.; He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in their mind when they decided to ask for asylum.;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False
35;8;AdditionDeletion;70;0;"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
36;9;AdditionDeletion;71;3;"Sheena Young of Child, the national infertility support network, said the guidelines should lead to a more ""fair and equitable"" service.";"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";"Sheena Young of Child, the national infertility support network, said the guidelines should lead to a more ""fair and equitable"" service.";True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False
37;10;AdditionDeletion;72;2;"Altered Sentence: Sheena Young, of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for individuals suffering from infertility.The alteration was successfully applied by deleting the words ""the"" and ""for infertility sufferers"" from the original sentence. The original meaning of the sentence is preserved in the altered sentence.";"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";"Sheena Young, of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for individuals suffering from infertility.";True;True;False;False;False;True;False;False;False;True;False;False;False;False;False;False;181.0;185.0;from;False
38;11;AdditionDeletion;73;4;"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" increased service for infertility sufferers.";"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" increased service for infertility sufferers.";True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False
39;12;AdditionDeletion;74;1;" Sheena Young of Child, the national infertility support network, only hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";"Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";" Sheena Young of Child, the national infertility support network, only hoped the guidelines would lead to a more ""fair and equitable"" service for infertility sufferers.";True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;66.0;70.0;only;False
40;9;AdditionDeletion;80;0;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media all in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media all in one location, providing one-click access.;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;93.0;96.0;all;False
41;10;AdditionDeletion;81;3;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location for the first time, providing one-click access to all.;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location for the first time, providing one-click access to all.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;156.0;162.0;to all;False
42;11;AdditionDeletion;82;2;The new Finder puts a user's folders, hard drive, network servers, iDisk, removable media and cloud storage in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk, removable media and cloud storage in one location, providing one-click access.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
43;12;AdditionDeletion;83;4;The new Finder puts a user's folders, hard drive, network servers, iDisk, removable media, and cloud storage in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk, removable media, and cloud storage in one location, providing one-click access.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
44;13;AdditionDeletion;84;1; The new Finder puts a user's folders, hard drive, network servers, iDisk, and removable media in one location, providing one-click access.;The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.; The new Finder puts a user's folders, hard drive, network servers, iDisk, and removable media in one location, providing one-click access.;True;False;False;True;False;False;True;False;False;False;False;False;False;True;False;False;;;;False
45;10;AdditionDeletion;90;0;Tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas, and the Turk and Caicos islands.;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;Tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas, and the Turk and Caicos islands.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;0.0;8.0;Tropical;False
46;11;AdditionDeletion;91;3;Tropical storm warnings and watches were posted for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;Tropical storm warnings and watches were posted for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;;;;False
47;12;AdditionDeletion;92;2;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas, and the Turk and Caicos islands, as well.;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas, and the Turk and Caicos islands, as well.;True;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;172.0;180.0;as well.;False
48;13;AdditionDeletion;93;4;But currently tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas, and the Turk and Caicos islands.;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;But currently tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas, and the Turk and Caicos islands.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;4.0;13.0;currently;False
49;14;AdditionDeletion;94;1; Tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.; Tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;;;;False
50;11;Change of order;1000;0;Adding that they had published an advertisement on the Internet on June 10, he added that they were offering the cargo for sale.;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;Adding that they had published an advertisement on the Internet on June 10, he added that they were offering the cargo for sale.;True;True;False;False;False;False;True;True;False;True;False;False;False;False;False;False;;;;False
51;12;Change of order;1001;3;"They had published an advertisement selling the cargo on the internet on June 10,"" he added.";They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;"They had published an advertisement selling the cargo on the internet on June 10,"" he added.";True;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False;36.0;53.0;selling the cargo;False
52;13;Change of order;1002;2;"Input: '''They had published an advertisement on June 10 on the Internet, offering the cargo for sale, he added.'''Altered sentence: '''On June 10, they had published an advertisement on the Internet, offering the cargo for sale, he added.'''Check: The alteration ""Change of order"" is applied by moving the phrase ""on June 10"" to before the phrase ""on the Internet"". The meaning of the sentence remains the same, and no other changes have been made besides the alteration given.";They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;On June 10, they had published an advertisement on the Internet, offering the cargo for sale, he added.;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;136.0;147.0;On June 10,;False
53;14;Change of order;1003;4;He added that they had published an advertisement on June 10, offering the cargo for sale on the Internet.;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.;He added that they had published an advertisement on June 10, offering the cargo for sale on the Internet.;True;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;0.0;13.0;He added that;False
54;15;Change of order;1004;1; They had added that they published an advertisement on the Internet on June 10, offering the cargo for sale.;They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.; They had added that they published an advertisement on the Internet on June 10, offering the cargo for sale.;True;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;1.0;15.0;They had added;False
55;12;Change of order;1010;0;On the New York Stock Exchange, the stock closed Friday at $21.51, rising $2.11 or about 11 percent.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;On the New York Stock Exchange, the stock closed Friday at $21.51, rising $2.11 or about 11 percent.;True;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False;0.0;31.0;On the New York Stock Exchange,;False
56;13;Change of order;1011;3;The stock, traded on the New York Stock Exchange, closed up $2.11 at $21.51 a share.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock, traded on the New York Stock Exchange, closed up $2.11 at $21.51 a share.;True;True;False;False;False;False;True;True;False;False;True;True;False;False;False;False;11.0;49.0;traded on the New York Stock Exchange,;False
57;14;Change of order;1012;2;The stock rose to close Friday at $21.51 on the New York Stock Exchange, an increase of $2.11 or approximately 11 percent. Altered Sentence: '''An increase of $2.11 or approximately 11 percent caused the stock to rise, closing Friday at $21.51 on the New York Stock Exchange.'''The altered sentence preserves the original meaning of the input sentence. The alteration of changing the order of the information from the original sentence to focus on the increase and closing price while maintaining the same overall structure was successfully applied.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;An increase of $2.11 or approximately 11 percent caused the stock to rise, closing Friday at $21.51 on the New York Stock Exchange.;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;15.0;72.0;to close Friday at $21.51 on the New York Stock Exchange,;False
58;15;Change of order;1013;4;The stock closed Friday at $21.51 on the New York Stock Exchange, rising $2.11 or about 11 percent.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.;The stock closed Friday at $21.51 on the New York Stock Exchange, rising $2.11 or about 11 percent.;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;10.0;33.0;closed Friday at $21.51;False
59;1;Change of order;1014;1; The stock, rising $2.11, or about 11 percent, closed Friday at $21.51 on the New York Stock Exchange.;The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.; The stock, rising $2.11, or about 11 percent, closed Friday at $21.51 on the New York Stock Exchange.;True;False;False;True;False;False;True;True;False;False;False;False;True;True;False;False;;;;False
60;13;Change of order;1020;0;When they decided to ask for asylum, Mr. Hussein's daughters had British schools and hospitals in mind, he told The Sun newspaper.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;When they decided to ask for asylum, Mr. Hussein's daughters had British schools and hospitals in mind, he told The Sun newspaper.;True;True;False;False;False;False;True;False;False;True;False;True;False;False;False;False;104.0;130.0;he told The Sun newspaper.;False
61;14;Change of order;1021;3;The Sun newspaper, quoting a shadowy figure it said was a former member of Mr. Hussein's regime, said Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;The Sun newspaper, quoting a shadowy figure it said was a former member of Mr. Hussein's regime, said Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;True;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;;;;False
62;15;Change of order;1022;2;The Sun newspaper told him that Mr. Hussein's daughters, when they decided to ask for asylum, had British schools and hospitals in mind.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;The Sun newspaper told him that Mr. Hussein's daughters, when they decided to ask for asylum, had British schools and hospitals in mind.;False;False;False;True;False;True;True;False;False;False;False;False;False;True;False;False;;;;False
63;1;Change of order;1023;4;That Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum, he told The Sun newspaper.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.;That Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum, he told The Sun newspaper.;True;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;108.0;134.0;he told The Sun newspaper.;False
64;2;Change of order;1024;1; Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum, he told The Sun newspaper.;He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.; Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum, he told The Sun newspaper.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;104.0;130.0;he told The Sun newspaper.;False
65;14;Change of order;1030;0;Plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel, he.;He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.;Plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel, he.;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;;;;False
66;15;Change of order;1031;3;He plans to have dinner with troops at Camp Bondsteel, Kosovo's U.S. military headquarters.;He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.;He plans to have dinner with troops at Camp Bondsteel, Kosovo's U.S. military headquarters.;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;39.0;54.0;Camp Bondsteel,;False
67;1;Change of order;1032;2;"Altered: '''He plans to have dinner with U.S. troops at Kosovo's military headquarters, Camp Bondsteel.'''Check: The alteration of changing the order of ""troops at Kosovo's"" to ""U.S. troops at Kosovo's"" has been applied successfully. The meaning of the sentence remains the same, and no other changes were made.";He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.;He plans to have dinner with U.S. troops at Kosovo's military headquarters, Camp Bondsteel.;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;;;;False
68;2;Change of order;1033;4;Plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel, he.;He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.;Plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel, he.;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;;;;False
69;3;Change of order;1034;1; Planning to have dinner with troops at Camp Bondsteel, Kosovo's U.S. military headquarters.;He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.; Planning to have dinner with troops at Camp Bondsteel, Kosovo's U.S. military headquarters.;True;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;56.0;92.0;Kosovo's U.S. military headquarters.;False
70;15;Change of order;1040;0;PBL, however, downplayed the talk and said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;PBL, however, downplayed the talk and said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;0.0;4.0;PBL,;False
71;1;Change of order;1041;3;However, PBL downplayed the talk and said it would focus only on smaller purchases that were immediately earnings and cash flow accretive..;However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.;However, PBL downplayed the talk and said it would focus only on smaller purchases that were immediately earnings and cash flow accretive..;True;True;False;False;False;False;True;True;False;True;False;False;False;False;False;False;13.0;32.0;downplayed the talk;False
